376073, Aachen, Germany, DE, 6.08342, 50.77664
16883149, Ab, Germany, DE, 9.135555400000001, 49.9806625
380037, Aberdeen, United Kingdom, GB, -2.09814, 57.14369
314051, Abidjan, Côte d'Ivoire, CI, -3.932743, 5.256242
425960, Abstatt, Germany, DE, 9.2907, 49.0682
314046, Accra, Ghana, GH, -0.1682974, 5.603922
387675, Acireale, Italy, IT, 15.16279, 37.60666
440446, Acquigny, France, FR, 1.1765, 49.1735
315002, Addis Ababa, Ethiopia, ET, 38.79092, 8.986915
378879, Addis Abeba, Ethiopia, ET, 38.7, 9.0333333
313885, Aeroporto Marco Polo di Venezia, Italia, IT, 12.34327, 45.505
314028, Aeroporto de Bruxelas, Bélgica, BE, 4.4848145, 50.8955342
314975, Aeroporto de Faro, Portugal, PT, -7.969111, 37.02082
314847, Aeroporto de Frankfurt am Main, Alemanha, DE, 8.57155, 50.05009
314522, Aeroporto de Milão Malpensa, Itália, IT, 8.722839, 45.63136
315474, Aeroporto di Cagliari, Italia, IT, 9.05813, 39.25267
315466, Aeroporto di Catania Fontanarossa, Italia, IT, 15.06617, 37.46742
314522, Aeroporto di Milano Malpensa, Italia, IT, 8.722839, 45.63136
315056, Aeroporto di Nizza Costa Azzurra, Francia, FR, 7.212856, 43.66379
314961, Aeroporto do Porto, Portugal, PT, -8.66822338104248, 41.23881149291992
315082, Aeropuerto Florencia Peretola, Italia, IT, 11.19907, 43.80219
315174, Aeropuerto Nacional de Santorini (Thira), Grecia, GR, 25.447267532348633, 36.405540466308594
314044, Aeropuerto de Amsterdam Schiphol, Holanda, NL, 4.763385, 52.30907
313711, Aeropuerto de Barcelona El Prat, España, ES, 2.0744297, 41.3025957
315097, Aeropuerto de Edinburgo, Reino Unido, GB, -3.365187, 55.94804
314031, Aeropuerto de Eindhoven, Holanda, NL, 5.376692, 51.45079
313713, Aeropuerto de Girona Costa Brava, España, ES, 2.764603, 41.89918
314966, Aeropuerto de Gran Canaria, España, ES, -15.38745, 27.93935
314957, Aeropuerto de Madrid Barajas, España, ES, -3.5695650577545166, 40.468257904052734
387682, Afragola, Italy, IT, 14.31083, 40.92601
379146, Agde, France, FR, 3.47583, 43.31083
373011, Aigle, Switzerland, CH, 6.96457, 46.3181
379149, Aix-en-Provence, France, FR, 5.44973, 43.5283
379149, Aix-en-Provence, France, FR, 5.44973, 43.5283
379154, Albi, France, FR, 2.148, 43.9298
448388, Alessandria, Italy, IT, 8.61894, 44.91245
378415, Algeciras, Spain, ES, -5.45051, 36.13326
387698, Alghero, Italy, IT, 8.31806, 40.55889
427775, Alicante, España, ES, -0.48149, 38.34517
427775, Alicante, Spain, ES, -0.48149, 38.34517
393147, Alkmaar, Niederlande, NL, 4.74861, 52.63167
378423, Almansa, España, ES, -1.09713, 38.86917
378425, Almería, España, ES, -2.45974, 36.83814
378425, Almería, Spanien, ES, -2.45974, 36.83814
387700, Altamura, Italia, IT, 16.55368, 40.82923
448362, Amalfi, Italy, IT, 14.60238, 40.6349
448362, Amalfi, Italy, IT, 14.60238, 40.6349
393153, Amesterdão, Holanda, NL, 4.88969, 52.37403
379162, Amiens, France, FR, 2.3, 49.9
393153, Amsterdam, Netherlands, NL, 4.88969, 52.37403
393153, Amsterdam, Netherlands, NL, 4.88969, 52.37403
314044, Amsterdam Airport Schiphol, Netherlands, NL, 4.763385, 52.30907
314044, Amsterdam Airport Schiphol, Netherlands, NL, 4.763385, 52.30907
320763, Amsterdam Centraal, Netherlands, NL, 4.900349, 52.3789
314044, Amsterdam Flughafen Schiphol, Niederlande, NL, 4.763385, 52.30907
387707, Ancona, Italia, IT, 13.51008, 43.59816
387707, Ancona, Italy, IT, 13.51008, 43.59816
315216, Ancona Marche Airport, Italy, IT, 13.36338, 43.61579
367843, Andorra la Vella, Andorra, AD, 1.5207105875015259, 42.5076904296875
380061, Andover, United Kingdom, GB, -1.48246, 51.20828
379166, Angers, France, FR, -0.55, 47.46667
379166, Angers, France, FR, -0.55, 47.46667
8442476, Angers Saint-Laud, France, FR, -0.563234, 47.462906
8442476, Angers Saint-Laud, France, FR, -0.563234, 47.462906
379168, Angoulême, France, FR, 0.15, 45.65
380062, Annan, United Kingdom, GB, -3.25647, 54.98839
379170, Annecy, France, FR, 6.11667, 45.9
379172, Annemasse, France, FR, 6.23775, 46.19439
378436, Antequera, España, ES, -4.56123, 37.01938
379175, Antibes, France, FR, 7.12777, 43.56241
369165, Antwerp, Belgium, BE, 4.40346, 51.21989
369165, Antwerpen, België, BE, 4.40346, 51.21989
378439, Aranjuez, España, ES, -3.60246, 40.03108
387724, Arezzo, Italia, IT, 11.87691, 43.46139
16816806, Arlanda Airport terminal 5, Sverige, SE, 17.931833, 59.652015
379183, Arles, France, FR, 4.63031, 43.67681
393157, Arnhem, Netherlands, NL, 5.91111, 51.98
379186, Arras, France, FR, 2.78186, 50.29301
1002871, Arévalo, España, ES, -4.701988, 41.047123
387737, Assisi, Italy, IT, 12.61646, 43.06914
381320, Athens, Greece, GR, 23.71622, 37.97945
381320, Athens, Greece, GR, 23.71622, 37.97945
315172, Athens International Airport, Greece, GR, 23.95126, 37.93636
376121, Augsburg, Germany, DE, 10.88333, 48.36667
376123, Aurich, Deutschland, DE, 7.48232, 53.46919
364036, Auxerre-St-Gervais, France, FR, 3.586749, 47.796085
387744, Avellino, Italia, IT, 14.78874, 40.91442
379202, Avignon, France, FR, 4.808858871459961, 43.94834899902344
365758, Avignon TGV, France, FR, 4.786045, 43.921932
379202, Aviñón, Francia, FR, 4.808858871459961, 43.94834899902344
314525, Aéroport Lyon Saint Exupéry, France, FR, 5.082447, 45.71981
315050, Aéroport Marseille Provence, France, FR, 5.220867, 43.44105
