1.398223, Gdańsk, Poland, PL, 18.64637, 54.35205
2.444608, Sgonico, Italy, IT, 13.74861, 45.73639
3.460570, Lviv, Ukraine, UA, 24.02324, 49.83826
4.376217, Berlin, Germany, DE, 13.41053, 52.52437
5.380553, London, United Kingdom, GB, -0.12574, 51.50853
6.369233, Brussels, Belgium, BE, 4.34878, 50.85045
7.373297, Zurich, Switzerland, CH, 8.55, 47.36667
8.376946, Munich, Germany, DE, 11.57549, 48.13743
9.379345, Colmar, France, FR, 7.36667, 48.08333
10.373033, Berne, Switzerland, CH, 7.44744, 46.94809
11.379620, Marsella, Francia, FR, 5.38107, 43.29695
12.379604, Lyon, Francia, FR, 4.84671, 45.74846
13.314522, Aeroporto di Milano Malpensa, Italia, IT, 8.722839, 45.63136
14.315466, Aeroporto di Catania Fontanarossa, Italia, IT, 15.06617, 37.46742
15.377001, Nuremberg, Németország, DE, 11.06833, 49.44778
16.383168, Budapest, Magyarország, HU, 19.03991, 47.49801
17.375859, Прага, Чехия, CZ, 14.42076, 50.08804
18.368571, Вена, Австрия, AT, 16.37208, 48.20849
19.388252, Milan, Italy, IT, 9.18951, 45.46427
20.373139, Lausanne, Switzerland, CH, 6.63282, 46.516
21.379727, Paris, France, FR, 2.3488, 48.85341
22.362017, Lyon Part Dieu, France, FR, 4.859991, 45.760568
23.369317, Ghent, Belgium, BE, 3.71667, 51.05
24.369241, Charleroi, Belgium, BE, 4.44448, 50.41136
25.388486, Rimini, Italia, IT, 12.58083, 44.06333
26.388402, Pescara, Italia, IT, 14.21021, 42.46024
27.388058, Firenze, Italia, IT, 11.25, 43.76667
28.388317, Napoli, Italia, IT, 14.25, 40.83333
29.379727, París, Francia, FR, 2.3488, 48.85341
30.379668, Montpellier, Francia, FR, 3.87723, 43.61092
31.379901, Strasbourg, France, FR, 7.74296, 48.58342
32.375859, Prague, Czechia, CZ, 14.42076, 50.08804
33.379766, Rambouillet, France, FR, 1.83333, 48.65
34.16808353, Mont Saint-Michel, France, FR, -1.511071, 48.635345
35.406057, Stockholm, Sverige, SE, 18.0649, 59.33258
36.378704, Navalmoral de la Mata, España, ES, -5.54064, 39.89158
37.378495, Cádiz, España, ES, -6.29944, 36.53361
38.388628, Sienne, Italie, IT, 11.33283, 43.32004
39.388117, Grosseto, Italie, IT, 11.10794, 42.77142
40.388498, Rome, Italy, IT, 12.4839, 41.89474
41.376583, Hamburg, Germany, DE, 10.01534, 53.57532
42.387787, Bologna, Italia, IT, 11.33875, 44.49381
43.446460, Livigno, Italy, IT, 10.13375, 46.53471
44.313885, Aeroporto Marco Polo di Venezia, Italia, IT, 12.34327, 45.505
45.338410, Venezia Mestre, Italia, IT, 12.2319, 45.481902
46.393153, Amsterdam, Netherlands, NL, 4.88969, 52.37403
47.314671, Seoul, South Korea, KR, 126.4503, 37.46856
48.376460, 프랑크푸르트, Germany, DE, 8.68417, 50.11552
49.388498, Roma, Italia, IT, 12.4839, 41.89474
50.338411, Venezia Santa Lucia, Italia, IT, 12.320462, 45.441397
51.376488, 퓌센, Germany, DE, 10.70171, 47.57143
52.329498, Dortmund Hbf, Germany, DE, 7.459293, 51.517898
53.388718, Turin, Italy, IT, 7.68682, 45.07049
54.388387, Parma, Italy, IT, 10.32898, 44.80266
55.388252, Milán, Italia, IT, 9.18951, 45.46427
56.388718, Turín, Italia, IT, 7.68682, 45.07049
57.390586, Casablanca, Reino de Marruecos, MA, -7.61138, 33.58831
58.378655, Madrid, España, ES, -3.70256, 40.4165
59.413570, Мейсен, Германия, DE, 13.4737, 51.16158
60.376367, Дрезден, Германия, DE, 13.73832, 51.05089
61.379637, Metz, France, FR, 6.17269, 49.11911
62.379681, Nancy, France, FR, 6.2, 48.68333
63.377541, Copenhagen, Denmark, DK, 12.56553, 55.67594
64.338467, Florence Santa Maria Novella, Italy, IT, 11.247806, 43.77681
65.369863, Sofia, Bulgaria, BG, 23.32415, 42.69751
66.379691, Nice, France, FR, 7.26608, 43.70313
67.379166, Angers, France, FR, -0.55, 47.46667
68.8442489, Sallanches - Combloux - Megève, France, FR, 6.63624, 45.9358
69.379620, Marseille, France, FR, 5.38107, 43.29695
70.381320, 雅典, 希腊, GR, 23.71622, 37.97945
71.388743, 威尼斯, 意大利, IT, 12.32667, 45.43861
72.387761, Bari, Italia, IT, 16.85118, 41.11773
73.398773, Lisbonne, Portugal, PT, -9.13333, 38.71667
74.379727, Paříž, Francie, FR, 2.3488, 48.85341
75.375859, Praha, Česko, CZ, 14.42076, 50.08804
76.383168, Будапешт, Венгрия, HU, 19.03991, 47.49801
77.398812, Monte Gordo, Portugal, PT, -7.45225, 37.18192
78.378797, Seville, Spain, ES, -5.97613, 37.38241
79.369231, Bruges, Belgium, BE, 3.22424, 51.20892
80.456154, 北京, 中国, CN, 116.39723, 39.9075
81.376367, 德累斯顿, 德国, DE, 13.73832, 51.05089
82.377282, Stendal, Deutschland, DE, 11.85867, 52.6069
83.376268, Brandenburg an der Havel, Deutschland, DE, 12.55, 52.41667
84.376367, Dresden, Duitsland, DE, 13.73832, 51.05089
85.376127, Bad Bentheim, Duitsland, DE, 7.16343, 52.31814
86.315002, Addis Ababa, Ethiopia, ET, 38.79092, 8.986915
87.315042, Paris Charles de Gaulle Airport, France, FR, 2.577134, 49.0029701
88.373120, Interlaken, Switzerland, CH, 7.86638, 46.68387
89.373096, Genève, Suisse, CH, 6.14569, 46.20222
90.380575, Manchester, United Kingdom, GB, -2.23743, 53.48095
91.393496, Bergen, Norway, NO, 5.324578762054443, 60.39292907714844
92.380947, Tbilisi, Georgia, GE, 44.83368, 41.69411
93.406199, Bratislava, Slovaquie, SK, 17.10674, 48.14816
94.378468, Barcelona, Spain, ES, 2.15899, 41.38879
95.338437, Верона Porta Nuova, Италия, IT, 10.982741, 45.428659
96.388743, Венеция, Италия, IT, 12.32667, 45.43861
97.375859, 프라하, Czechia, CZ, 14.42076, 50.08804
98.373297, 취리히, Switzerland, CH, 8.55, 47.36667
99.388252, 米兰, 意大利, IT, 9.18951, 45.46427
100.373139, 洛桑, 瑞士, CH, 6.63282, 46.516
101.376217, Berlijn, Duitsland, DE, 13.41053, 52.52437
102.393261, Heerenveen, Nederland, NL, 5.91854, 52.95929
103.376809, Leipzig, Germany, DE, 12.37129, 51.33962
104.376590, Hanover, Germany, DE, 9.73322, 52.37052
105.440468, Les Deux Alpes, France, FR, 6.12548, 45.0116
106.379749, Poitiers, France, FR, 0.33333, 46.58333
107.314891, Oran, Algérie, DZ, -0.6258944, 35.61938
108.315050, Aéroport Marseille Provence, France, FR, 5.220867, 43.44105
109.388743, Venecia, Italia, IT, 12.32667, 45.43861
110.376217, Berlín, Alemania, DE, 13.41053, 52.52437
111.388377, Palermo, Italy, IT, 13.35976, 38.11582
112.378585, Granada, Spain, ES, -3.60667, 37.18817
113.381320, Athens, Greece, GR, 23.71622, 37.97945
114.382080, Thessaloniki, Greece, GR, 22.94389, 40.64028
115.369233, Bruxelas, Bélgica, BE, 4.34878, 50.85045
116.376460, Frankfurt am Main, Alemanha, DE, 8.68417, 50.11552
117.379319, Chateauneuf-les-Martigues, France, FR, 5.16667, 43.38333
118.314973, Lanzarote Airport, Spain, ES, -13.60627, 28.95126
119.393361, Rotterdam, Netherlands, NL, 4.47917, 51.9225
120.376362, Dortmund, Germany, DE, 7.466, 51.51494
121.368467, Kitzbühel, Austria, AT, 12.39215, 47.44637
122.368534, Salzburg, Austria, AT, 13.04399, 47.79941
123.373297, Zürich, Schweiz, CH, 8.55, 47.36667
124.376946, München, Deutschland, DE, 11.57549, 48.13743
125.410951, New York, Verenigde Staten, US, -74.00597, 40.71427
126.368571, Viena, Áustria, AT, 16.37208, 48.20849
127.379531, La Rochelle, França, FR, -1.15, 46.16667
128.379962, Vichy, France, FR, 3.41667, 46.11667
129.379690, Nevers, France, FR, 3.159, 46.98956
130.448362, Amalfi, Italy, IT, 14.60238, 40.6349
131.446214, Minori, Italy, IT, 14.62684, 40.6503
132.377245, Siegen, Germany, DE, 8.02431, 50.87482
133.406023, Linköping, Sverige, SE, 15.62157, 58.41086
134.16806397, Paris Cdg Airport, France, FR, 2.54827, 49.009535
135.8442476, Angers Saint-Laud, France, FR, -0.563234, 47.462906
136.445424, Ponza, Italy, IT, 12.958975, 40.895573
137.449582, Casamicciola Terme, Italy, IT, 13.910216, 40.745735
138.16863158, Neuhausen Am Rheinfall, Switzerland, CH, 8.6126098, 47.6837423
139.388317, Naples, Italy, IT, 14.25, 40.83333
140.388457, Procida, Italy, IT, 14.01443862915039, 40.75651168823242
141.406807, Pattaya, Thailand, TH, 100.88333, 12.93333
142.406676, Bangkok, Thailand, TH, 100.50144, 13.75398
143.376460, 法兰克福, 德国, DE, 8.68417, 50.11552
144.380553, 伦敦, 英国, GB, -0.12574, 51.50853
145.376319, Colônia, Alemanha, DE, 6.95, 50.93333
146.393400, Utrecht, Holanda, NL, 5.12222, 52.09083
147.471505, Emmerthal, Niedersachsen, Deutschland, DE, 9.38564999999994, 52.04615
148.464113, Eisenach, Thüringen, Deutschland, DE, 10.31522, 50.9807
